"['Restaurants', 'Pizza', 'Chicken Wings']",2.5
"['Tex-Mex', 'Fast Food', 'Restaurants']",2.5
"['Hawaiian', 'Restaurants', 'Barbeque']",4.0
"['Restaurants', 'Cafes']",3.5
"['Sandwiches', 'Breakfast & Brunch', 'Salad', 'Restaurants']",4.0
"['Fast Food', 'Restaurants']",3.5
"['Restaurants', 'Seafood']",3.5
"['Restaurants', 'Mexican']",3.5
"['Restaurants', 'Waffles', 'Southern', 'Soul Food']",4.0
"['Persian/Iranian', 'Restaurants', 'Ethnic Food', 'Food', 'Specialty Food']",2.5
['Restaurants'],3.0
['Restaurants'],3.5
"['Tex-Mex', 'Restaurants']",1.5
"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']",3.5
"['Pubs', 'Nightlife', 'Bars', 'Restaurants']",3.0
"['Diners', 'Sandwiches', 'Breakfast & Brunch', 'Burgers', 'Canadian (New)', 'Restaurants']",3.5
['Restaurants'],3.5
"['Food', 'Fast Food', 'Restaurants', 'Juice Bars & Smoothies']",4.5
['Restaurants'],2.5
['Restaurants'],3.5
['Restaurants'],4.0
"['Restaurants', 'Sushi Bars']",3.5
"['Breakfast & Brunch', 'Restaurants']",2.0
"['Filipino', 'Restaurants']",2.0
"['Restaurants', 'Vegetarian']",3.5
"['Cafes', 'Restaurants']",4.5
"['Restaurants', 'Fast Food']",1.5
"['Food', 'Restaurants', 'Breakfast & Brunch', 'Coffee & Tea']",3.5
['Restaurants'],3.5
"['Pizza', 'Restaurants']",3.0
"['Bakeries', 'Food', 'Restaurants']",2.5
"['Restaurants', 'Breakfast & Brunch', 'Burgers', 'Sandwiches']",3.5
"['Restaurants', 'Fruits & Veggies', 'Specialty Food', 'Delicatessen', 'Food', 'Cafes', 'Coffee & Tea']",5.0
"['Sports Bars', 'Nightlife', 'Bars', 'Pizza', 'Restaurants', 'Burgers']",3.5
"['Restaurants', 'Mexican']",3.0
"['Nightlife', 'Bars', 'Restaurants', 'Sports Bars']",3.5
"['Chicken Wings', 'Fast Food', 'Restaurants']",3.5
['Restaurants'],3.0
['Restaurants'],5.0
"['Sandwiches', 'Restaurants', 'Breakfast & Brunch']",3.5
['Restaurants'],3.5
"['Fast Food', 'Restaurants', 'Burgers']",1.5
['Restaurants'],3.0
"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Salad', 'Restaurants', 'Coffee & Tea', 'Food', 'Sandwiches']",4.0
"['Restaurants', 'Breakfast & Brunch', 'Burgers']",3.0
"['Pizza', 'Restaurants']",4.0
"['Asian Fusion', 'Japanese', 'Restaurants']",4.0
['Restaurants'],3.0
"['Asian Fusion', 'Fast Food', 'Coffee & Tea', 'Food', 'Beer', 'Wine & Spirits', 'Restaurants', 'Cafes']",3.0
"['Bars', 'Dive Bars', 'Food', 'Restaurants', 'Nightlife']",5.0
"['Restaurants', 'Sandwiches', 'Fast Food']",2.0
"['Fast Food', 'Restaurants', 'Sandwiches']",2.0
['Restaurants'],4.0
['Restaurants'],3.5
"['Food', 'Imported Food', 'Restaurants', 'Ethnic Food', 'Specialty Food']",4.5
"['Steakhouses', 'Restaurants']",3.0
"['Fast Food', 'Restaurants']",2.5
"['Barbeque', 'Restaurants', 'Southern']",2.0
['Restaurants'],4.5
"['Sushi Bars', 'Restaurants']",4.0
"['Restaurants', 'Noodles', 'Sushi Bars', 'Salad']",4.0
"['Delis', 'Restaurants']",4.0
"['Delis', 'Restaurants', 'Fast Food', 'Sandwiches']",3.5
"['Restaurants', 'Pizza']",4.5
"['Restaurants', 'Burgers', 'Local Flavor', 'Barbeque']",3.5
"['Desserts', 'Food', 'Pizza', 'Restaurants', 'Bakeries']",4.5
"['Restaurants', 'Pizza']",3.5
['Restaurants'],3.0
"['Restaurants', 'Breakfast & Brunch']",3.5
['Restaurants'],3.0
"['Restaurants', 'Steakhouses']",4.0
"['Fast Food', 'Sandwiches', 'Restaurants']",2.5
"['Pizza', 'Food', 'Restaurants', 'Ice Cream & Frozen Yogurt']",4.5
['Restaurants'],3.0
"['Tapas Bars', 'Restaurants']",2.0
"['Barbeque', 'Restaurants']",3.5
['Restaurants'],2.5
"['Restaurants', 'Fast Food', 'Sandwiches']",2.5
"['Pizza', 'Restaurants']",3.5
"['Pizza', 'Nightlife', 'Restaurants', 'Bars']",3.5
"['Restaurants', 'Cheese Shops', 'Sandwiches', 'Specialty Food', 'Food', 'Delis']",4.5
"['Music Venues', 'Dance Clubs', 'Nightlife', 'Restaurants', 'Burgers', 'Pubs', 'Lounges', 'Comedy Clubs', 'Arts & Entertainment', 'Bars']",3.5
"['Burgers', 'Fast Food', 'Restaurants']",3.0
"['Restaurants', 'Barbeque', 'Breakfast & Brunch']",3.5
"['Restaurants', 'Fast Food', 'Airports', 'Hotels & Travel']",3.5
"['Restaurants', 'Buffets']",2.5
"['Cafes', 'Food', 'Restaurants', 'Sandwiches', 'Coffee & Tea', 'Breakfast & Brunch']",3.5
['Restaurants'],3.0
['Restaurants'],2.5
['Restaurants'],3.5
"['Restaurants', 'Korean']",3.5
['Restaurants'],3.0
['Restaurants'],3.5
"['Restaurants', 'Fast Food']",3.0
"['Pizza', 'Restaurants', 'Event Planning & Services', 'Caterers']",4.0
"['Restaurants', 'Breakfast & Brunch', 'Food', 'Desserts', 'Southern']",3.5
"['Burgers', 'Restaurants', 'Sandwiches']",2.5
"['Seafood', 'Restaurants']",4.0
"['Steakhouses', 'Fondue', 'Restaurants']",4.0
"['Fast Food', 'Restaurants']",3.5
"['Filipino', 'Restaurants']",3.5
['Restaurants'],2.0
"['Restaurants', 'Juice Bars & Smoothies', 'Food', 'Sandwiches']",5.0
"['Restaurants', 'Chicken Wings', 'Fast Food']",1.5
"['Fast Food', 'Tex-Mex', 'Restaurants']",3.5
"['Burgers', 'Fast Food', 'Restaurants']",1.0
"['Juice Bars & Smoothies', 'Gluten-Free', 'Restaurants', 'Specialty Food', 'Food', 'Health Markets']",3.0
"['Nightlife', 'Sports Bars', 'Barbeque', 'Restaurants', 'Food', 'Smokehouse', 'Bars', 'Comfort Food']",4.0
"['Sports Bars', 'Bars', 'Restaurants', 'Nightlife', 'Chicken Wings']",2.5
"['Restaurants', 'Bars', 'Nightlife', 'Burgers']",3.0
"['Restaurants', 'Fast Food', 'Burgers']",3.0
"['Restaurants', 'Korean', 'Salad']",4.0
"['Bakeries', 'Food', 'Restaurants']",3.5
"['Mediterranean', 'Turkish', 'Restaurants']",3.5
"['Fast Food', 'Restaurants', 'Burgers']",2.0
"['Mediterranean', 'Pizza', 'Restaurants']",2.5
"['Restaurants', 'Tapas/Small Plates', 'Asian Fusion']",3.0
"['Nightlife', 'Breakfast & Brunch', 'Bars', 'Restaurants']",4.0
"['Restaurants', 'Sandwiches', 'Coffee & Tea', 'Food']",3.5
"['Restaurants', 'Fast Food', 'Sandwiches']",2.5
"['Pizza', 'Restaurants', 'Portuguese', 'Indian']",3.0
"['Pizza', 'Restaurants']",3.0
"['Convenience Stores', 'Food', 'Delis', 'Restaurants']",4.5
"['Sandwiches', 'Restaurants']",4.0
['Restaurants'],3.5
"['Restaurants', 'Indian']",3.5
"['Restaurants', 'Pizza']",3.5
['Restaurants'],3.0
['Restaurants'],3.0
"['Fishmonger', 'Fischbroetchen', 'Restaurants', 'Food']",5.0
"['Restaurants', 'Chicken Wings', 'Caterers', 'Event Planning & Services', 'Fast Food']",4.0
['Restaurants'],4.5
"['Food', 'Restaurants']",3.5
['Restaurants'],3.0
"['Cafes', 'Coffee & Tea', 'Donuts', 'Restaurants', 'Food', 'Sandwiches']",3.5
"['Restaurants', 'Malaysian']",3.5
"['Restaurants', 'Desserts', 'Cafes', 'Coffee & Tea', 'Bakeries', 'Food', 'Juice Bars & Smoothies']",4.5
"['Restaurants', 'Delis', 'Sandwiches']",4.5
"['Restaurants', 'Pizza']",4.0
"['Restaurants', 'Fast Food']",3.0
"['Brasseries', 'Restaurants']",3.5
"['Nightlife', 'Food', 'Restaurants', 'Sports Bars', 'Burgers', 'Bars', 'Beer', 'Wine & Spirits']",3.0
"['Bars', 'Restaurants', 'Tex-Mex', 'Nightlife']",2.0
